608835832,Sinte,,,,,,,,,,
584123424,Miki,,,,,,,,,,
330058506,Yeab,,,,,,,,,,
351420751,Aman,,,,,,,,,,
402237081,Estif,,,,,,,,,,
469046386,Brhanu Lake,,,,,,,,,,
525252998,983500492,,,,,,,,,,
1356374687,Gubae,,,,,,,,,,
612206431,Ze,,,,,,,,,,
466248722,Netsanet,,,,,,,,,,
448951741,Yordi,,,,,,,,,,
443961627,Anteneh,,,,,,,,,,
276823935,Eyoas,,,,,,,,,,
360104744,Yetessasate,,,,,,,,,,
459941313,Sec,,,,,,,,,,
320688106,Girma,,,,,,,,,,
793435187,Mohamed,,,,,,,,,,
889845476,HahuJobs,,,,,,,,,,
5281911189,Abdiin Koo,,,,,,,,,,
5265976521,Mohammed Awol Asrar,,,,,,,,,,
1888833005,Ayansa,,,,,,,,,,
598410753,Senay,,,,,,,,,,
5336336934,Isoo Maan,,,,,,,,,,
570107003,\xe1\x8d\x8d\xe1\x8d\x81\xe1\x88\x9b\xe1\x8b\x8a\xe1\x89\xb5,,,,,,,,,,
5353660655,Dagne Degayehu,,,,,,,,,,
5038403103,Magartu,,,,,,,,,,
961881979,Recep Tayip,,,,,,,,,,
5357612426,Dinkinesh,,,,,,,,,,
384750146,Gebrsh yonas,,,,,,,,,,
1549569974,Nayimu,,,,,,,,,,
576098138,\xe1\x8b\xb0\xe1\x88\x9c \xe1\x8b\xa8\xe1\x88\x90\xe1\x89\xa0\xe1\x88\xbb \xe1\x88\x8d\xe1\x8c\x85,,,,,,,,,,
917375377,Meseret,,,,,,,,,,
838142432,4M6,,,,,,,,,,
588122887,Surafel,,,,,,,,,,
5344883181,Aschu,,,,,,,,,,
338201019,Dave,,,,,,,,,,
390481533,Betty,,,,,,,,,,
636065753,\xc3\x86\xc3\xb1d l\xc3\xab,,,,,,,,,,
416780770,"t hurt me"",",,,,,,,,,,
420829650,Hana,,,,,,,,,,
5102436828,Ketema Mekonen,,,,,,,,,,
1692562274,Debebe,,,,,,,,,,
1214546739,Shibere,,,,,,,,,,
883809183,nani,,,,,,,,,,
2008684434,Abdi,,,,,,,,,,
5190864304,Werkneh,,,,,,,,,,
